                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0705,                 3.6742,                 1.0693,                0.38199,                0.34526,                0.29576,                0.25823,                0.62498,                 3.1913,                0.84898,               0.000125,               0.000125,               0.000125
                      1,                0.72216,                 1.3642,                0.94312,                0.94588,                0.97803,                  0.995,                0.86269,                0.60742,                0.86537,                0.84145,             0.00024238,             0.00024238,             0.00024238
                      2,                0.68651,                0.83982,                0.92043,                 0.9326,                0.99141,                  0.995,                0.84652,                0.63298,                0.60916,                0.84548,             0.00034689,             0.00034689,             0.00034689
                      3,                0.67561,                0.70727,                0.92062,                0.95582,                0.98961,                  0.995,                0.86273,                0.62295,                0.51457,                0.84451,             0.00042575,             0.00042575,             0.00042575
                      4,                0.63722,                0.62656,                0.90984,                0.97502,                0.99297,                  0.995,                0.87741,                0.59474,                0.44151,                0.84008,             0.00042575,             0.00042575,             0.00042575
                      5,                0.62975,                0.59603,                0.90501,                0.96617,                0.99575,                  0.995,                0.86349,                0.59878,                0.43129,                0.84689,               0.000401,               0.000401,               0.000401
                      6,                0.61657,                0.50481,                0.89029,                0.96004,                0.99856,                  0.995,                0.87405,                0.58286,                0.37889,                0.83876,             0.00037625,             0.00037625,             0.00037625
                      7,                0.60324,                0.49453,                0.88741,                0.97953,                      1,                  0.995,                0.86869,                0.57708,                0.35918,                0.83279,              0.0003515,              0.0003515,              0.0003515
                      8,                 0.5942,                 0.4564,                 0.8945,                0.98336,                      1,                  0.995,                0.89146,                0.54815,                 0.3232,                0.83124,             0.00032675,             0.00032675,             0.00032675
                      9,                0.57835,                0.43664,                 0.8804,                0.97163,                0.99987,                  0.995,                0.87253,                0.55854,                 0.3293,                0.83216,               0.000302,               0.000302,               0.000302
                     10,                 0.5607,                0.43354,                0.88669,                0.98405,                      1,                  0.995,                 0.8815,                0.54972,                0.32319,                0.83677,             0.00027725,             0.00027725,             0.00027725
                     11,                0.54175,                 0.4108,                0.86786,                0.98085,                      1,                  0.995,                0.87558,                0.56707,                0.30674,                0.83419,              0.0002525,              0.0002525,              0.0002525
                     12,                0.52688,                0.39399,                0.86761,                0.98565,                      1,                  0.995,                0.88287,                0.56042,                0.29225,                0.83052,             0.00022775,             0.00022775,             0.00022775
                     13,                0.52562,                0.38266,                0.87254,                 0.9831,                      1,                  0.995,                0.88294,                0.55637,                0.28489,                0.82908,               0.000203,               0.000203,               0.000203
                     14,                0.50794,                0.37136,                0.86738,                0.98522,                 0.9952,                  0.995,                0.88784,                0.54456,                0.27604,                 0.8258,             0.00017825,             0.00017825,             0.00017825
                     15,                0.50799,                 0.3553,                0.86669,                0.98514,                      1,                  0.995,                  0.884,                0.54956,                0.27234,                0.82301,              0.0001535,              0.0001535,              0.0001535
                     16,                0.49026,                0.33963,                0.85667,                0.97905,                      1,                  0.995,                0.89168,                 0.5344,                0.26949,                0.81875,             0.00012875,             0.00012875,             0.00012875
                     17,                 0.4774,                0.33481,                0.85274,                0.98458,                      1,                  0.995,                0.88461,                0.52855,                 0.2615,                0.82124,               0.000104,               0.000104,               0.000104
                     18,                0.46795,                0.32009,                0.84772,                0.98446,                      1,                  0.995,                0.89453,                0.51993,                0.25227,                0.81926,              7.925e-05,              7.925e-05,              7.925e-05
                     19,                0.46311,                0.30475,                0.84812,                0.98605,                      1,                  0.995,                0.88931,                 0.5288,                0.25282,                 0.8205,               5.45e-05,               5.45e-05,               5.45e-05
