                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.46753,                0.26708,                0.88868,                0.97128,                0.98075,                0.99431,                0.87549,                0.47582,                0.22065,                0.86354,              0.0001634,              0.0001634,              0.0001634
                     36,                0.46151,                0.26643,                0.88569,                0.97128,                0.98802,                0.99431,                0.89504,                0.42122,                0.19983,                 0.8556,              0.0001535,              0.0001535,              0.0001535
                     37,                0.44568,                0.26265,                0.87843,                0.97168,                0.98599,                0.99362,                0.89114,                0.42584,                0.20126,                0.85544,              0.0001436,              0.0001436,              0.0001436
                     38,                0.44542,                0.25733,                0.87472,                0.96454,                0.95701,                 0.9925,                0.89499,                0.42591,                0.21814,                0.85277,              0.0001337,              0.0001337,              0.0001337
                     39,                0.44391,                0.25801,                0.88295,                0.96425,                0.98472,                0.99299,                0.89721,                0.41071,                0.20181,                0.84292,              0.0001238,              0.0001238,              0.0001238
                     40,                0.40935,                0.22263,                0.87495,                0.96883,                 0.9783,                0.99167,                0.89048,                0.43117,                0.21465,                0.85605,              0.0001139,              0.0001139,              0.0001139
                     41,                0.39423,                0.21396,                0.86005,                0.97896,                0.98046,                0.99222,                0.89413,                0.41612,                0.19504,                0.84811,               0.000104,               0.000104,               0.000104
                     42,                0.37566,                0.20356,                0.84936,                0.97516,                0.98785,                0.99362,                0.89745,                 0.4226,                0.20478,                0.84873,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                0.37834,                0.20927,                0.85395,                0.97385,                 0.9851,                0.99362,                0.89892,                0.41814,                0.19826,                0.84584,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                0.36925,                0.20318,                0.85016,                0.96517,                0.99201,                0.99375,                0.89817,                0.42611,                0.19914,                0.84851,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                0.35958,                0.19683,                0.85015,                 0.9529,                0.97865,                0.99294,                0.89716,                0.42213,                0.21547,                0.85156,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                0.35528,                0.19549,                0.84335,                0.97073,                0.99116,                0.99431,                0.89243,                0.42981,                0.20078,                0.85086,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                0.34636,                0.19386,                0.84016,                0.96304,                0.99127,                0.99362,                0.89233,                0.41774,                0.19645,                0.85255,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                0.33343,                0.18489,                0.83204,                0.96139,                0.99287,                0.99362,                0.90681,                0.40421,                0.20373,                 0.8475,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                0.33237,                0.18875,                0.83856,                0.97058,                0.99293,                0.99362,                0.90114,                0.41063,                0.20378,                 0.8448,               2.48e-05,               2.48e-05,               2.48e-05
